username,created_at,text,likes,reposts,section,merged_section
NowThis Impact,2025-05-27 14:58:10,"About 27 minutes into his speech, as director Dr. Jay Bhattacharya discussed the possibility that NIH-sponsored research contributed to the virus’s origins, dozens of NIH staff — including postdoctoral researchers and union members — walked out in protest.",73,10,Health News,Health
NowThis Impact,2025-05-27 14:50:52,The budget bill is now in the Senate and it's already not going well,39,5,Politics,Politics
NowThis Impact,2025-05-27 11:20:17,"Of the 381 titles originally pulled, the Pentagon found only 20 for review under Trump’s DEI purge.",35,6,Politics,Politics
NowThis Impact,2025-05-23 18:00:53,It’s time to call your senators.,25,10,Politics,Politics
NowThis Impact,2025-05-23 17:52:39,"Heading into hurricane season, cuts to the National Weather Service are going to have serious consequences.",45,10,Weather,Weather
NowThis Impact,2025-05-23 17:37:26,"Two Muppets, one carousel — what gives you more hope than that?",13,3,Entertainment,Entertainment
NowThis Impact,2025-05-23 17:34:44,"Trump gets richer while we struggle to survive.

Trump’s pointless tariffs are estimated to cost each of us $5,200 more every year.

But that won’t bother Trump. Since he took office, his corruption-inducing meme coins have brought in $2.9B for him and his family.",35,12,Politics,Politics
NowThis Impact,2025-05-23 15:59:20,This is such an epic takedown of Trump by the late rapper Mac Miller.,96,10,Entertainment,Entertainment
NowThis Impact,2025-05-23 14:19:10,The Trump admin is so out of touch.,23,8,Politics,Politics
NowThis Impact,2025-05-23 14:16:21,‘Life is better when we leap together’ — Kermit reminds us not to let the world divide us,61,18,Lifestyle,Lifestyle
NowThis Impact,2025-05-23 14:05:14,Steve Madden comes with the receipts on why tariffs do not work.,282,97,Business,Business & Economy
NowThis Impact,2025-05-23 13:49:07,"A federal judge has blocked the Trump administration’s attempt to bar Harvard University from enrolling international students, delivering a major setback to the White House’s crackdown on higher education.",26,7,Education,Education
NowThis Impact,2025-05-23 13:43:41,Trump doesn’t care that tariffs will cost you more — he’s doing it all to benefit himself and his billionaire donors.,29,13,Politics,Politics
NowThis Impact,2025-05-23 13:34:54,Trump’s latest trade war ultimatum to Apple threatens a 25% tariff on iPhones made outside the U.S. — a move that could send prices for us skyrocketing.,7,3,Business,Business & Economy
NowThis Impact,2025-05-23 13:28:59,Kermit gets the struggle,19,2,Entertainment,Entertainment
NowThis Impact,2025-05-23 13:22:38,Frank Bisignano’s main qualification? Being a ‘donor.’,19,8,Politics,Politics
NowThis Impact,2025-05-23 13:21:37,Wearing an official vest or badge doesn’t make these tactics acceptable. It’s not about the law — it’s about power and cruelty.,48,13,Opinion,Opinion
NowThis Impact,2025-05-22 18:40:53,This puts a new spin on ‘stop the steal’ doesn’t it?,23,3,Politics,Politics
NowThis Impact,2025-05-22 18:36:57,"Aja the Queen posted on social media that, despite having all the correct documentation, she was still issued a passport with the gender marker ‘M’ to indicate male. ‘This isn’t a clerical error. This is a federal fumble with my life in the crosshairs,’ the star wrote.",22,2,Politics,Politics
NowThis Impact,2025-05-22 18:36:15,"Republicans keep lying about their ‘big, beautiful bill’ because it betrays the very people who voted for them. Here’s what’s really in it.",48,9,Politics,Politics
NowThis Impact,2025-05-22 16:36:30,"Albuquerque, NM, has launched a basic income program funded by tax revenue from recreational weed sales.

Starting this month, 80 low-income families in underserved neighborhoods are receiving $750 per month for a year, with no restrictions on how the money is spent.",105,28,Local News,Local News
NowThis Impact,2025-05-22 16:33:32,"Donald Trump is hosting a private dinner Thursday night for the top 220 holders of his cryptocurrency, $TRUMP. The top 25 holders will get extra perks, like a VIP reception and a private tour.",9,6,Business,Business & Economy
NowThis Impact,2025-05-22 13:28:21,"Following this logic, do we all get a turn on the plane now?",97,37,Travel,Food & Lifestyle
NowThis Impact,2025-05-22 13:18:07,The Allianz Trade Global Survey 2025 reveals that Trump’s tariffs are set to hit consumers hard: 54% of U.S. companies and 45% of Chinese firms plan to raise prices to offset the increased costs from these tariffs.,10,4,Economics,Business & Economy
NowThis Impact,2025-05-22 13:12:57,"The GOP should be ashamed of what’s in the budget bill. It delivers massive tax breaks to the wealthy, slashes critical programs like Medicaid and SNAP for low-income Americans, and adds up to $3.8T to the national deficit over the next decade.",86,36,Politics,Politics
NowThis Impact,2025-05-22 13:08:44,"So glad the GOP has their priorities straight.

They tried to repeal the tanning bed tax in service of their leader with an ‘orange hue.’

After all the criticism, it looks like that provision was dropped from the bill.",35,7,Politics,Politics
NowThis Impact,2025-05-22 12:47:47,Amy Poehler gets it.,55,8,Entertainment,Entertainment
NowThis Impact,2025-05-22 12:44:31,"A majority of Americans can’t afford a ‘minimal quality of life,’ according to an analysis. Why? Wage stagnation and decreased buying power. This is what our leaders should be focused on, but instead the Trump administration’s actions will worsen our economy and deepen inequality.",17,10,Economy,Business & Economy
NowThis Impact,2025-05-22 12:38:42,"If it talks like a Republican and votes like a Republican, it probably does not have your best interest in mind.",27,8,Politics,Politics
NowThis Impact,2025-05-22 12:16:56,"Despite Trump’s directive for ‘NO MORE DRAG SHOWS’ at the Kennedy Center, the institution’s 2025–2026 season is stacked with productions featuring drag performances.",28,6,Entertainment,Entertainment
NowThis Impact,2025-05-21 18:12:50,"Great slogan, bad policy",16,4,Opinion,Opinion
NowThis Impact,2025-05-21 18:11:51,"Sen. Josh Hawley (R-MO) is now asking FEMA for disaster relief after voting ‘no’ on extra funding just months ago — a classic case of ‘not in my backyard, unless I need help.’ Missouri’s tornado wreckage, totaling over $1.6 billion in damage, has Hawley scrambling for federal aid.",302,113,Politics,Politics
NowThis Impact,2025-05-21 16:22:08,It was Bring Your Child to Work Day in the White House Briefing Room,18,2,Lifestyle,Lifestyle
NowThis Impact,2025-05-21 16:09:52,"A win is a win.

Elon Musk spent over $250M supporting Donald Trump’s 2024 presidential campaign and more than $21M backing conservative Brad Schimel in the 2025 Wisconsin Supreme Court race — aiming to shift the court’s balance.",18,4,Politics,Politics
NowThis Impact,2025-05-21 15:36:54,All the memes worked,69,14,Entertainment,Entertainment
NowThis Impact,2025-05-21 15:33:31,"If you’re making less than $100,000, you aren’t earning enough to cover basic human needs, according to research by the Ludwig Institute for Shared Economic Prosperity (LISEP), which defines a ‘minimal quality of life’ as a working-class lifestyle.",35,16,Economics,Business & Economy
NowThis Impact,2025-05-21 13:34:39,"Sorry, forgot to have kids. I was too busy doomscrolling",28,9,Lifestyle,Lifestyle
NowThis Impact,2025-05-21 13:33:04,"‘I’m not the least bit concerned about that, given that nothing in [Kash Patel’s] life will have prepared him to be FBI director’",71,4,Politics,Politics
NowThis Impact,2025-05-21 13:25:07,"Jessica Guthrie’s mother, Constance, is living with Alzheimer’s disease and doesn’t qualify for Medicaid. So, like millions of other Americans, Guthrie had to step up and provide care for her herself. Most states are on the brink of a caregiver emergency.",13,2,Health,Health
NowThis Impact,2025-05-21 13:14:53,"Ripping SNAP and Medicaid away from Americans is exhausting work — especially when lawmakers hold the debate late at night, away from public scrutiny.",352,141,Politics,Politics
NowThis Impact,2025-05-21 12:54:37,We haven't seen much of Elon Musk lately,10,1,Business,Business & Economy
NowThis Impact,2025-05-21 12:48:56,"Grok, an AI chatbot created by Elon Musk to ‘appeal to the right,’ is apparently getting ‘too woke’ for MAGA because sometimes it tells the truth — and it’s hilarious.

youtube.com/shorts/kVevq...",18,3,Technology,Technology
NowThis Impact,2025-05-20 18:36:12,The original video has almost 7 million view on TikTok,527,37,Entertainment,Entertainment
NowThis Impact,2025-05-20 16:58:07,Rep. LaMonica McIver called the federal assault charges against her ‘purely political’ following a confrontation during an official oversight visit to the Delaney Hall ICE detention facility in Newark.,25,3,Politics,Politics
NowThis Impact,2025-05-20 15:38:00,"It’s no shock the feds aren’t helping. Trump has been trying to gut FEMA and push disaster relief onto the states, leaving places like St. Louis hanging when they need help the most.",44,8,Politics,Politics
NowThis Impact,2025-05-20 15:30:42,"NY Gov. Kathy Hochul has enacted a sweeping package of policies aimed at supporting working families — including a substantial middle-class tax cut, an expansion of the state’s child tax credit, and free school meals for all public school students.",27,4,Politics,Politics
NowThis Impact,2025-05-20 15:20:13,"She has no idea what habeas corpus is. How is she in charge of Homeland Security?

youtube.com/shorts/JuYlj...",42,12,Politics,Politics
NowThis Impact,2025-05-20 13:43:22,The Trump administration isn’t worried about Moody’s downgrade of the U.S. credit rating.,11,9,Economy,Business & Economy
NowThis Impact,2025-05-20 13:29:10,"In a rare show of bipartisan unity, President Trump has signed the Take It Down Act — a sweeping law making it a federal crime to share nonconsensual intimate images, including AI-generated deepfakes, without the subject’s permission.",14,2,Legislation,Legislation
NowThis Impact,2025-05-19 18:04:37,Red pill content is radicalizing men and fueling contempt for women.,67,17,Society,Society
NowThis Impact,2025-05-19 17:57:57,"While Sesame Street’s move to Netflix is a major win for the iconic show, this solution is unique — it doesn’t address the broader crisis facing public broadcasting.",148,21,Media,Entertainment
NowThis Impact,2025-05-19 17:48:55,"Donald Trump Jr. is facing backlash for a post many are calling offensive and insensitive, where he questioned President Biden’s cancer diagnosis and Jill Biden’s involvement.",17,5,Politics,Politics
NowThis Impact,2025-05-19 17:45:41,"The Trump administration, known for its ‘tough on crime’ slogan, reportedly rolled out the red carpet for the family of Sinaloa cartel leaders — including relatives of El Chapo’s son.",21,13,Crime,Crime
NowThis Impact,2025-05-19 17:38:47,"A deadly explosion occurred outside the American Reproductive Centers fertility clinic in Palm Springs, California, on Saturday morning. The blast, believed to be caused by a car bomb, killed the suspected perpetrator and injured four others.",14,3,Breaking News,Breaking News
NowThis Impact,2025-05-19 17:36:46,This obviously worked out suuuppper well for her. 👀,25,4,Entertainment,Entertainment
NowThis Impact,2025-05-19 14:42:54,Trump’s fixation on celebrity vendettas is less about national security and more about nursing his bruised ego on Truth Social.,19,7,Politics,Politics
NowThis Impact,2025-05-19 14:40:23,"‘Are we in it for 177 years?’ Tynesha McHarris, co-founder of the Black Feminist Fund, reminds us that it took 177 years to end slavery from the first formal gathering to its abolition.",25,5,Social Justice,Social Issues
NowThis Impact,2025-05-19 14:29:19,"Abigail Disney, the niece of Walt Disney and outspoken critic of billionaires and the top 1%, says the real issue isn’t left vs. right — it’s top vs. bottom. She made the remarks at the Elevate Prize Foundation’s Make Good Famous Summit in Miami, Florida.",44,11,Politics,Politics
NowThis Impact,2025-05-19 14:20:50,"Victor Joe Gomez Sr., an electrician, was electrocuted and killed while inspecting electrical panels at Tesla’s Austin Gigafactory on August 1, 2024.",80,20,Local News,Local News
NowThis Impact,2025-05-19 14:08:51,"At least 27 people were killed when powerful tornadoes tore through Kentucky and Missouri on the night of May 16. The hardest-hit areas, including London and Somerset in Kentucky, saw entire neighborhoods flattened, vehicles tossed, and hundreds of homes destroyed.",21,7,Breaking News,Breaking News
NowThis Impact,2025-05-19 13:48:51,‘Can you hold up the movie in customs? It doesn’t ship that way.’,30,8,Entertainment,Entertainment
NowThis Impact,2025-05-19 12:53:35,Pedro Pascal shared his story as the child of Chilean refugees at the Cannes Film Festival.,71,14,Entertainment,Entertainment
NowThis Impact,2025-05-16 18:40:03,Never forget to celebrate the wins,36,9,Lifestyle,Lifestyle
NowThis Impact,2025-05-16 18:39:15,"As Washington lawmakers clash over Medicaid cuts, the real heartbreak is unfolding far from the halls of power — in states across the country.

For many, Medicaid isn’t just a program; it’s a lifeline. In North Carolina, for example, entire communities and hospitals depend on it.",83,36,Health Care,Health
NowThis Impact,2025-05-16 15:28:42,"GA State Rep. Kasey Carpenter (R) has been outspoken in advocating for the release of Ximena Arias-Cristobal, a 19-year-old undocumented college student who was detained by ICE after a mistaken traffic stop in Dalton, GA.",39,15,Immigration News,World
NowThis Impact,2025-05-16 15:19:30,"You can’t make this sh*t up —

Kid Rock’s Nashville restaurant, Big Ass Honky Tonk Rock N’ Roll Steakhouse, reportedly closed temporarily to avoid ICE raids.",36,15,Entertainment,Entertainment
NowThis Impact,2025-05-16 15:07:58,Public outrage — including a speech from Rep. Hoyle — led to the reinstatement of the National Firefighter Registry for Cancer.,54,10,Health,Health
NowThis Impact,2025-05-16 14:53:03,The audience's response says it all,96,44,Entertainment,Entertainment
NowThis Impact,2025-05-16 13:50:25,"The Department of Homeland Security is reportedly in the early stages of considering a reality TV show concept called ‘The American’, where immigrants would compete in various physical and cultural challenges across the U.S. for a chance to fast-track their citizenship.",16,3,Entertainment News,Entertainment
NowThis Impact,2025-05-16 13:05:26,"@ppfa.org is a vital resource, and defunding it will cost us all millions. 

youtube.com/shorts/7qmqX...",6,2,Health,Health
NowThis Impact,2025-05-16 12:31:59,‘Where are the cuts?’ — Sen. Rand Paul (R-KY) realized Elon Musk wasn’t there to save Americans money. Musk was there to stop oversight over his companies.,34,9,Politics,Politics
NowThis Impact,2025-05-16 11:59:49,"Donald Trump, instead of focusing on the serious business of running the country, took a detour into petty celebrity shade by declaring on Truth Social that Taylor Swift is ‘no longer hot.’",11,2,Entertainment News,Entertainment
NowThis Impact,2025-05-16 11:36:59,"Under Sean Duffy’s 'leadership,' air traffic control at Newark and Chicago has become a masterclass in chaos management.",84,37,Transportation,Infrastructure
NowThis Impact,2025-05-15 18:23:23,The $45 million being spent on Trump’s birthday parade could do a lot of good.,25,6,Politics,Politics
NowThis Impact,2025-05-15 18:19:23,"A brain-dead woman in Georgia is being kept on life support as a vessel for her unborn child, because of the state’s strict abortion ban.",89,19,Health,Health
NowThis Impact,2025-05-15 18:06:55,Gutting SNAP after praying to Jesus doesn’t sit right with this politician,360,120,Politics,Politics
NowThis Impact,2025-05-15 14:27:31,The way my jaw stayed in place,26,2,Health,Health
NowThis Impact,2025-05-15 14:23:51,This resurfaced 1990 clip shows Trump has always been delusional.,283,20,Politics,Politics
NowThis Impact,2025-05-15 14:20:24,Transportation Secretary Sean Duffy recently admitted on SiriusXM’s The David Webb Show that he changed his wife’s flight from Newark Airport to LaGuardia.,14,3,Politics,Politics
NowThis Impact,2025-05-15 14:18:22,"At the start of his European tour in Manchester, Bruce Springsteen didn’t hold back when talking about the Trump administration.",78,16,Entertainment,Entertainment
NowThis Impact,2025-05-15 13:18:22,"Why can’t even the most progressive cities build enough housing? A groundbreaking new documentary, ‘FAULT LINES,’ attempts to answer that question. Stream now on Apple TV+.",8,0,Housing/Real Estate,Infrastructure
NowThis Impact,2025-05-15 13:10:35,"Didn’t know Americans could actually agree on something, but apparently, we all know gutting Medicaid is a terrible idea.",22,3,Politics,Politics
NowThis Impact,2025-05-15 13:03:45,"How are we still talking about this?

Oklahoma’s new academic standards require high school students to study supposed ‘discrepancies’ in the 2020 presidential election, echoing Trump’s conspiracy theories.",16,5,Politics,Politics
NowThis Impact,2025-05-15 12:23:33,JD Vance is heading back to Italy to attend Pope Leo's inauguration,14,1,Politics,Politics
NowThis Impact,2025-05-15 12:07:51,"Ohio Republicans have introduced House Bill 262, aiming to designate the stretch from Mother’s Day to Father’s Day as ‘Natural Family Month’ — a not-so-subtle nod to straight pride.",12,4,Politics,Politics
NowThis Impact,2025-05-14 18:58:55,"In 2022, Nancy Davis was denied a medically necessary abortion in her home state of Louisiana. After going through that ordeal, she created the Nancy Davis Foundation so others wouldn’t have to face what she did. 

youtu.be/jr491-7Lwok",33,4,Health News,Health
NowThis Impact,2025-05-14 18:50:27,"Yes, Republicans really do want to ban p*rnography — and they spelled it out in Project 2025. But redefining what is ‘obscene’ goes way beyond what you might use a private browser for. In fact, it could be much worse.",81,19,Politics,Politics
NowThis Impact,2025-05-14 17:33:19,"The Supreme Court ruled that the Trump administration can enforce its ban on transgender individuals serving in the U.S. military.

youtube.com/shorts/lt2L_...",5,5,Politics,Politics
NowThis Impact,2025-05-14 17:18:09,"RFK Jr., the nation’s top health official, said people shouldn’t take medical advice from him. That’s pretty ironic coming from the person whose job is to give medical advice and lead public health policy.",43,12,Health News,Health
NowThis Impact,2025-05-14 17:03:15,The budget bill Republicans are currently debating relies heavily on cuts to social programs and accounting tricks to pay for tax breaks for billionaires.,15,3,Politics,Politics
NowThis Impact,2025-05-14 15:50:31,"Ximena Arias-Cristobal, a 19-year-old undocumented college student, remains in ICE custody after Georgia police admitted she was mistakenly arrested during a traffic stop.

All charges were dropped when officials confirmed she was not the driver who committed the violation.",32,8,Immigration News,World
NowThis Impact,2025-05-14 13:34:22,"In districts where as many as a third of residents rely on Medicaid, these cuts would mean lost coverage, hospital closures, and reduced access to care — putting public health and the financial stability of local hospitals at risk.",80,11,Health Care,Health
NowThis Impact,2025-05-14 13:22:51,"Ximena Arias-Cristobal, a 19-year-old undocumented college student, remains in ICE custody after Georgia police admitted she was mistakenly arrested during a traffic stop.",20,9,Immigration,World
NowThis Impact,2025-05-14 12:38:37,Wonder why they are too ashamed to admit what they are doing...,509,149,Opinion,Opinion
NowThis Impact,2025-05-14 12:30:30,"A federal appeals court has blocked enforcement of Florida’s drag show ban, calling the law ‘substantially overbroad’ and likely unconstitutional.",7,1,Legal News,Crime
NowThis Impact,2025-05-14 12:21:25,Democrat John Ewing Jr. has defeated three-term Republican incumbent Jean Stothert to become Omaha’s first Black mayor — and the city’s first Democratic mayor since 2013.,74,5,Politics,Politics
NowThis Impact,2025-05-14 12:02:35,How can we expect rich politicians to make laws for the rest of us?,174,56,Politics,Politics
NowThis Impact,2025-05-14 11:36:05,Democrat John Ewing Jr. has defeated three-term Republican incumbent Jean Stothert to become Omaha’s first Black mayor — and the city’s first Democratic mayor since 2013.,49,14,Politics,Politics
NowThis Impact,2025-05-13 19:39:15,"At the 2025 Cannes Film Festival opening, Robert De Niro used his honorary Palme d’Or acceptance speech to criticize Trump, calling him ‘America’s philistine president’ and an enemy of the arts.",61,13,Entertainment News,Entertainment
NowThis Impact,2025-05-13 19:34:32,"As always, the queen for — and of — the people, Brigitte Bandit, stands up for what’s right. Long live Texas drag!",56,4,Entertainment,Entertainment
NowThis Impact,2025-05-13 19:29:06,"When Kamala Harris proposed a federal crackdown on price gouging, MAGA quickly branded her a ‘communist.’ Now, as Trump issues sweeping executive orders demanding price cuts from Big Pharma — a necessary move to rein in soaring drug costs — those same voices have grown conspicuously silent.",67,18,Politics,Politics
NowThis Impact,2025-05-13 19:24:59,"At the 2025 Cannes Film Festival opening, Robert De Niro used his honorary Palme d’Or acceptance speech to sharply criticize Donald Trump, labeling him ‘America’s philistine president’ and an enemy of the arts.",270,50,Entertainment News,Entertainment
NowThis Impact,2025-05-13 13:44:55,The first group of white South African refugees has arrived in the U.S. after Trump issued an executive order prioritizing their resettlement. Wonder why the Trump administration thinks this group can ‘assimilate easily’...,30,9,Politics,Politics
NowThis Impact,2025-05-13 13:38:43,"A Washington Post study revealed that during the 2021-2022 school year, just 11 individuals filed 60% of all school book challenges.",25,10,Education,Education
NowThis Impact,2025-05-13 13:33:53,GOP Rep. Brian Jack really got stumped with this one,28,2,Politics,Politics
NowThis Impact,2025-05-13 12:53:52,Who could he be speaking about?,13,3,Politics,Politics
NowThis Impact,2025-05-13 12:46:57,"Bill and Melinda Gates have dedicated over $60B to fighting global health crises, reducing childhood mortality, improving sanitation, and supporting education and poverty alleviation worldwide.",52,12,Philanthropy,Philanthropy
NowThis Impact,2025-05-13 12:41:46,"A woman was forced to show ID to prove her gender before being kicked out of a women’s bathroom at a Boston hotel, despite repeatedly asserting she is a woman — a stark example of why policing bathrooms is harmful and dehumanizing to LGBTQIA+ people.",62,11,LGBTQIA+ Rights,LGBTQIA+ Rights
NowThis Impact,2025-05-13 12:36:48,Agreeing with Rand Paul was not on my 2025 bingo card.,117,42,Politics,Politics
NowThis Impact,2025-05-12 18:06:25,Elon Musk is reportedly searching for the next mother of his children.,10,5,Entertainment,Entertainment
NowThis Impact,2025-05-12 18:03:04,The Trump administration granted expedited refugee status to a group of Afrikaners — white South Africans — citing alleged racial discrimination and violence against them.,12,4,Politics,Politics
NowThis Impact,2025-05-12 17:59:09,"Nearly $1,000,000 for a racist who called a child a slur — and the platforms that allow this aren’t being held accountable.",42,12,Social Issues,Social Issues
NowThis Impact,2025-05-12 17:53:57,"When even Trump’s #1 fan, Laura Loomer, thinks accepting a $400M jet from Qatar is a bad idea, you know it’s truly a bad idea.",30,8,Politics,Politics
NowThis Impact,2025-05-12 17:52:40,"Hasan Piker, a U.S. citizen, was detained and questioned by ICE and U.S. Customs — including questions about his views on Donald Trump.",361,19,Politics,Politics
NowThis Impact,2025-05-12 16:23:25,"‘It’s interesting to hear that we are too strong for sports, but too weak for the military’ — ‘The Daily Show’ sat down with a panel of transgender soldiers to discuss Trump’s bogus attacks.",57,15,Politics,Politics
NowThis Impact,2025-05-12 16:10:26,"Qatar is gifting Trump a $400M jet that the U.S. government can use for the next few years until it’s handed over to his presidential library foundation. That doesn’t sound like normal presidential behavior to us, but what do we know 🤷‍♂️",22,4,Politics,Politics
NowThis Impact,2025-05-12 13:14:03,"‘I’ve got this message for Mr. Musk: We’ve crushed fascism before and we’ll crush it again.’

A 98-year-old World War II veteran brilliantly protested Musk by driving a tank over a Tesla.",85,13,Politics,Politics
NowThis Impact,2025-05-12 12:30:54,"The Trump administration is once again abusing its power — now threatening to arrest House Democrats Reps. Watson Coleman (NJ), Menendez (NJ), and McIver (NJ) after they visited an ICE facility for lawful oversight.",231,9,Politics,Politics
NowThis Impact,2025-05-12 12:00:23,A new study published in Nature Climate Change reveals stark inequalities in climate responsibility: the world’s wealthiest 10% are responsible for about two-thirds of global warming since 1990.,55,9,Environment,Climate & Environment
NowThis Impact,2025-05-09 19:13:01,"Here’s why many people empathize with Rodney Hinton Jr., who was accused of killing a sheriff’s deputy just one day after his son was killed by police.

youtube.com/shorts/_rYOc...",26,7,Crime News,Crime
NowThis Impact,2025-05-09 19:04:56,"President Trump’s tariffs are hitting Americans right in the wallet just as people across the country get ready to honor mothers, caregivers, and loved ones.",32,8,Economy,Business & Economy
